wavenumber,transmittance
3269.8202,0.297495
3267.2400,0.291176
3264.6599,0.290185
3262.0797,0.289905
3259.4996,0.290217
3256.9195,0.287359
3254.3393,0.281632
3251.7592,0.274704
3249.1790,0.273119
3246.5989,0.275330
3244.0188,0.274269
3241.4386,0.272383
3238.8585,0.266918
3236.2783,0.263639
3233.6982,0.260465
3231.1181,0.258693
3228.5379,0.256792
3225.9578,0.258339
3223.3776,0.260374
3220.7975,0.257401
3218.2174,0.251676
3215.6372,0.245483
3213.0571,0.240388
3210.4769,0.239583
3207.8968,0.241086
3205.3167,0.239181
3202.7365,0.233310
3200.1564,0.226632
3197.5762,0.223934
3194.9961,0.222283
3192.4159,0.220731
3189.8358,0.217085
3187.2557,0.214125
3184.6755,0.211021
3182.0954,0.207898
3179.5152,0.204689
3176.9351,0.201576
3174.3550,0.198309
3171.7748,0.197364
3169.1947,0.195042
3166.6145,0.191215
3164.0344,0.186064
3161.4543,0.183349
3158.8741,0.180347
3156.2940,0.177285
3153.7138,0.174061
3151.1337,0.171237
3148.5536,0.170275
3145.9734,0.169415
3143.3933,0.166277
3140.8131,0.161410
3138.2330,0.157856
3135.6529,0.157524
3133.0727,0.158758
3130.4926,0.156966
3127.9124,0.152419
3125.3323,0.150035
3122.7522,0.152244
3120.1720,0.155007
3117.5919,0.157009
3115.0117,0.158017
3112.4316,0.158206
3109.8514,0.157209
3107.2713,0.156933
3104.6912,0.158008
3102.1110,0.159044
3099.5309,0.162283
3096.9507,0.165062
3094.3706,0.168138
3091.7905,0.169456
3089.2103,0.171448
3086.6302,0.170397
3084.0500,0.168680
3081.4699,0.167237
3078.8898,0.166590
3076.3096,0.165947
3073.7295,0.166573
3071.1493,0.168037
3068.5692,0.167588
3065.9891,0.163722
3063.4089,0.160433
3060.8288,0.158777
3058.2486,0.156210
3055.6685,0.153050
3053.0884,0.149356
3050.5082,0.145553
3047.9281,0.142555
3045.3479,0.140753
3042.7678,0.137257
3040.1876,0.133721
3037.6075,0.128787
3035.0274,0.125420
3032.4472,0.124296
3029.8671,0.123696
3027.2869,0.121439
3024.7068,0.118665
3022.1267,0.116303
3019.5465,0.112235
3016.9664,0.109188
3014.3862,0.107239
3011.8061,0.107161
3009.2260,0.109360
3006.6458,0.112945
3004.0657,0.113628
3001.4855,0.113173
2998.9054,0.114128
2996.3253,0.118403
2993.7451,0.122316
2991.1650,0.125378
2988.5848,0.126239
2986.0047,0.126964
2983.4246,0.129340
2980.8444,0.131435
2978.2643,0.132657
2975.6841,0.134333
2973.1040,0.137713
2970.5238,0.140825
2967.9437,0.142947
2965.3636,0.144328
2962.7834,0.146092
2960.2033,0.148944
2957.6231,0.152303
2955.0430,0.155967
2952.4629,0.156947
2949.8827,0.159785
2947.3026,0.165073
2944.7224,0.170520
2942.1423,0.172594
2939.5622,0.173099
2936.9820,0.173880
2934.4019,0.169785
2931.8217,0.163787
2929.2416,0.156168
2926.6615,0.153981
2924.0813,0.152999
2921.5012,0.151487
2918.9210,0.147252
2916.3409,0.142869
2913.7608,0.138656
2911.1806,0.135081
2908.6005,0.132562
2906.0203,0.130660
2903.4402,0.129353
2900.8600,0.128961
2898.2799,0.129105
2895.6998,0.129177
2893.1196,0.129227
2890.5395,0.129808
2887.9593,0.131004
2885.3792,0.133297
2882.7991,0.135016
2880.2189,0.135404
2877.6388,0.134084
2875.0586,0.131039
2872.4785,0.128990
2869.8984,0.127255
2867.3182,0.124970
2864.7381,0.120670
2862.1579,0.116981
2859.5778,0.113492
2856.9977,0.110183
2854.4175,0.106936
2851.8374,0.103609
2849.2572,0.100387
2846.6771,0.097350
2844.0970,0.095070
2841.5168,0.092883
2838.9367,0.091068
2836.3565,0.089955
2833.7764,0.088567
2831.1962,0.085209
2828.6161,0.082467
2826.0360,0.081776
2823.4558,0.079990
2820.8757,0.077044
2818.2955,0.075972
2815.7154,0.076733
2813.1353,0.076876
2810.5551,0.076113
2807.9750,0.074158
2805.3948,0.072358
2802.8147,0.071099
2800.2346,0.070891
2797.6544,0.070161
2795.0743,0.068965
2792.4941,0.066100
2789.9140,0.064919
2787.3339,0.065849
2784.7537,0.067213
2782.1736,0.065626
2779.5934,0.063842
2777.0133,0.062695
2774.4332,0.061828
2771.8530,0.059207
2769.2729,0.056578
2766.6927,0.055875
2764.1126,0.056622
2761.5324,0.056153
2758.9523,0.055670
2756.3722,0.052642
2753.7920,0.047049
