wavenumber,transmittance
3860.7904,99.867088
3860.3082,99.868546
3859.8261,99.870293
3859.3440,99.872398
3858.8619,99.874847
3858.3798,99.877502
3857.8977,99.880165
3857.4155,99.882553
3856.9334,99.884338
3856.4513,99.885201
3855.9692,99.884911
3855.4871,99.883354
3855.0050,99.880569
3854.5228,99.876732
3854.0407,99.872108
3853.5586,99.867020
3853.0765,99.861832
3852.5944,99.856873
3852.1123,99.852455
3851.6301,99.848831
3851.1480,99.846214
3850.6659,99.844727
3850.1838,99.844444
3849.7017,99.845406
3849.2196,99.847557
3848.7374,99.850822
3848.2553,99.855003
3847.7732,99.859863
3847.2911,99.865112
3846.8090,99.870468
3846.3269,99.875687
3845.8447,99.880501
3845.3626,99.884735
3844.8805,99.888283
3844.3984,99.891167
3843.9163,99.893532
3843.4342,99.895561
3842.9520,99.897415
3842.4699,99.899170
3841.9878,99.900810
3841.5057,99.902184
3841.0236,99.903114
3840.5415,99.903419
3840.0593,99.902969
3839.5772,99.901711
3839.0951,99.899673
3838.6130,99.896980
3838.1309,99.893799
3837.6488,99.890343
3837.1666,99.886848
3836.6845,99.883537
3836.2024,99.880615
3835.7203,99.878212
3835.2382,99.876465
3834.7561,99.875450
3834.2739,99.875252
3833.7918,99.875977
3833.3097,99.877731
3832.8276,99.880547
3832.3455,99.884392
3831.8634,99.889030
3831.3812,99.894096
3830.8991,99.899063
3830.4170,99.903397
3829.9349,99.906631
3829.4528,99.908485
3828.9707,99.908890
3828.4885,99.907967
3828.0064,99.905998
3827.5243,99.903351
3827.0422,99.900398
3826.5601,99.897453
3826.0780,99.894760
3825.5958,99.892479
3825.1137,99.890671
3824.6316,99.889343
3824.1495,99.888474
3823.6674,99.888062
3823.1853,99.888161
3822.7031,99.888855
3822.2210,99.890236
3821.7389,99.892387
3821.2568,99.895287
3820.7747,99.898849
3820.2926,99.902893
3819.8104,99.907158
3819.3283,99.911385
3818.8462,99.915344
3818.3641,99.918869
3817.8820,99.921890
3817.3999,99.924385
3816.9177,99.926361
3816.4356,99.927834
3815.9535,99.928802
3815.4714,99.929253
3814.9893,99.929161
3814.5072,99.928543
3814.0250,99.927429
3813.5429,99.925873
3813.0608,99.923920
3812.5787,99.921654
3812.0966,99.919174
3811.6145,99.916626
3811.1323,99.914154
3810.6502,99.911911
3810.1681,99.909996
3809.6860,99.908455
3809.2039,99.907265
3808.7218,99.906364
3808.2396,99.905663
3807.7575,99.905060
3807.2754,99.904442
3806.7933,99.903778
3806.3112,99.903076
3805.8291,99.902382
3805.3469,99.901756
3804.8648,99.901215
3804.3827,99.900787
3803.9006,99.900490
3803.4185,99.900391
3802.9364,99.900574
3802.4542,99.901123
3801.9721,99.902061
3801.4900,99.903389
3801.0079,99.905022
3800.5258,99.906891
3800.0437,99.908897
3799.5615,99.910965
3799.0794,99.913010
3798.5973,99.915001
3798.1152,99.916908
3797.6331,99.918724
3797.1510,99.920441
3796.6688,99.922035
3796.1867,99.923447
3795.7046,99.924644
3795.2225,99.925613
3794.7404,99.926338
3794.2583,99.926773
3793.7761,99.926834
3793.2940,99.926399
3792.8119,99.925385
3792.3298,99.923805
3791.8477,99.921753
3791.3656,99.919434
3790.8834,99.917114
3790.4013,99.915108
3789.9192,99.913696
3789.4371,99.913109
3788.9550,99.913467
3788.4728,99.914803
3787.9907,99.917038
3787.5086,99.920052
3787.0265,99.923714
3786.5444,99.927872
3786.0623,99.932335
3785.5801,99.936897
3785.0980,99.941284
3784.6159,99.945183
3784.1338,99.948311
3783.6517,99.950401
3783.1696,99.951317
3782.6874,99.950989
3782.2053,99.949463
3781.7232,99.946869
3781.2411,99.943420
3780.7590,99.939400
3780.2769,99.935135
3779.7947,99.930984
3779.3126,99.927322
3778.8305,99.924477
3778.3484,99.922699
3777.8663,99.922119
3777.3842,99.922745
3776.9020,99.924461
3776.4199,99.927040
3775.9378,99.930191
3775.4557,99.933586
3774.9736,99.936897
3774.4915,99.939857
3774.0093,99.942253
3773.5272,99.943947
3773.0451,99.944862
3772.5630,99.945015
3772.0809,99.944466
3771.5988,99.943336
3771.1166,99.941811
3770.6345,99.940109
3770.1524,99.938469
3769.6703,99.937134
3769.1882,99.936287
3768.7061,99.936020
3768.2239,99.936356
3767.7418,99.937218
3767.2597,99.938522
3766.7776,99.940125
3766.2955,99.941910
3765.8134,99.943756
3765.3312,99.945618
3764.8491,99.947449
3764.3670,99.949272
3763.8849,99.951111
3763.4028,99.952980
3762.9207,99.954872
3762.4385,99.956741
3761.9564,99.958519
3761.4743,99.960068
3760.9922,99.961281
3760.5101,99.962059
3760.0280,99.962357
3759.5458,99.962173
3759.0637,99.961571
3758.5816,99.960625
3758.0995,99.959450
3757.6174,99.958199
3757.1353,99.957092
3756.6531,99.956390
3756.1710,99.956345
3755.6889,99.957062
3755.2068,99.958450
3754.7247,99.960251
3754.2426,99.962166
3753.7604,99.963898
3753.2783,99.965263
3752.7962,99.966133
3752.3141,99.966446
3751.8320,99.966171
3751.3499,99.965294
3750.8677,99.963829
3750.3856,99.961754
3749.9035,99.959053
3749.4214,99.955765
3748.9393,99.952019
3748.4572,99.947990
3747.9750,99.943832
3747.4929,99.939690
3747.0108,99.935745
3746.5287,99.932304
3746.0466,99.929688
3745.5645,99.928238
3745.0823,99.928131
3744.6002,99.929298
3744.1181,99.931435
3743.6360,99.934097
3743.1539,99.936813
3742.6718,99.939186
3742.1896,99.940941
3741.7075,99.941879
3741.2254,99.941879
3740.7433,99.940918
3740.2612,99.939110
3739.7791,99.936653
3739.2969,99.933746
3738.8148,99.930573
3738.3327,99.927284
3737.8506,99.924004
3737.3685,99.920822
3736.8864,99.917732
3736.4042,99.914673
3735.9221,99.911652
3735.4400,99.908730
3734.9579,99.906052
3734.4758,99.903778
3733.9937,99.902061
3733.5115,99.901039
3733.0294,99.900764
3732.5473,99.901245
3732.0652,99.902382
3731.5831,99.904015
3731.1010,99.905922
3730.6188,99.907814
3730.1367,99.909431
3729.6546,99.910553
3729.1725,99.911034
3728.6904,99.910759
3728.2083,99.909576
3727.7261,99.907310
3727.2440,99.903770
3726.7619,99.898842
3726.2798,99.892517
3725.7977,99.884926
3725.3156,99.876312
3724.8334,99.867004
3724.3513,99.857323
3723.8692,99.847588
3723.3871,99.838081
3722.9050,99.829025
3722.4229,99.820610
